"category","documentName","annexureNumber","fileName","downloadUrl"
"Financial Documents","Balance Sheet","70","Not Available.pdf","not available"
"Financial Documents","Audited Profit and Loss Statement","71","Not Available.pdf","not available"
"Financial Documents","Income Tax Return Acknowledgement","72","Not Available.pdf","not available"
"Financial Documents","Director's Report","73","Not Available.pdf","not available"
"Financial Documents","Cash Flow Statement","74","Not Available.pdf","not available"
"Financial Documents","Auditor's Report","75","Not Available.pdf","not available"
"Project Documents","Commencement Certificate","80","Birla Estates_Kodathi_ Building Plan Approved Work Order.pdf","not available"
"Project Documents","Sectional Drawing of the apartments","82","DWG-34.pdf","not available"
"Project Documents","Project Specifications","84","BIRLA EVARA SPECIFICATION.pdf","not available"
"Project Documents","Relinquishment Deed","86","Kodathi Village DP_ BDA Relinquishment Deed.pdf","not available"
"Project Documents","Proforma of Agreement for Sale","87","Not Available.pdf","not available"
"Project Documents","Proforma of Allotment Letter","88","Allotment letter Draft-Sarjapur.pdf","not available"
"Declarations","Declaration (Form B)","89","Form-B affidavit.pdf","not available"
"Declarations","JD AFFIDAVIT CUM DECLARATION","91","Not Available.pdf","not available"
"Declarations","Section 3(1) Notarized Affidavit","90","Notarized Affidavit for 3(1) Voilation-1.pdf","not available"
"Declarations","Advocate Search Report","92","Legal opinion.pdf","not available"
"NOC Documents","ESCOM/Electricity","95","BESCOM NOC with fees receipt.pdf","not available"
"NOC Documents","KWSSB/Water","96","NOC from Kodati Village Panchayat for water supply.pdf","not available"
"NOC Documents","KSPCB","97","SEIAA NOC.pdf","not available"
"NOC Documents","Fire Force Department","99","Fire NOC.pdf","not available"
"NOC Documents","Airport Authority of India","100","HAL and AAI NOC.pdf","not available"
"NOC Documents","BSNL","101","Not Available.pdf","not available"
"NOC Documents","BMRCL","103","Not Available.pdf","not available"
"NOC Documents","Bangalore Urban Arts Commission","105","Not Available.pdf","not available"
"NOC Documents","Coastal Regulation Zone Authority","107","Not Available.pdf","not available"
"Project Photo","Project Photo","108","Not Available.pdf","not available"
"Other Documents","SD 1690-Sy No 64-1","113","SD 1690-Sy No 64-1.pdf","not available"
"Other Documents","SD 1689-Sy No 68-4, 64-2, 65-3","113","SD 1689-Sy No 68-4, 64-2, 65-3.pdf","not available"
"Other Documents","SD 1687-Sy No 68-3","113","SD 1687-Sy No 68-3.pdf","not available"
"Other Documents","Discharge Deed -2483-20-21","113","Discharge Deed -2483-20-21.pdf","not available"
"Other Documents","Discharge Deed-2481-20-21","113","Discharge Deed-2481-20-21.pdf","not available"
"Other Documents","Hissa Survey Tippani 65","113","Hissa Survey Tippani 65.pdf","not available"
"Other Documents","Hissa Survey Tippani-Sy No 68","113","Hissa Survey Tippani-Sy No 68.pdf","not available"
"Other Documents","Kodathi Updated ADLR Sketch","113","Kodathi Updated ADLR Sketch.pdf","not available"
"Other Documents","MR No 25-83-84","113","MR No 25-83-84.pdf","not available"
"Other Documents","MR No 61-2003-04","113","MR No 61-2003-04.pdf","not available"
"Other Documents","MR No 62-2003-04","113","MR No 62-2003-04.pdf","not available"
"Other Documents","Partition Deed -1014-2004-05","113","Partition Deed -1014-2004-05.pdf","not available"
"Other Documents","Partition Deed-1035-2004-05","113","Partition Deed-1035-2004-05.pdf","not available"
"Other Documents","Survey Hissa Tippani 64-2","113","Survey Hissa Tippani 64-2.pdf","not available"
